2pi_c,f,e1,e2,u1,u2
2.10E-11,2000000000,20.5211,5.8335,1.0056,0.0653
2.10E-11,2080000000,20.4002,5.7767,1.0045,0.0717
2.10E-11,2160000000,20.2764,5.734,1.0054,0.0638
2.10E-11,2240000000,20.157,5.6988,1.0041,0.0608
2.10E-11,2320000000,20.0511,5.6484,1.0039,0.0612
2.10E-11,2400000000,19.9401,5.6224,1.0042,0.0557
2.10E-11,2480000000,19.8371,5.582,1.0038,0.0558
2.10E-11,2560000000,19.735,5.5498,1.0052,0.0528
2.10E-11,2640000000,19.6418,5.5239,1.0046,0.051
2.10E-11,2720000000,19.5406,5.4854,1.0082,0.0492
2.10E-11,2800000000,19.4533,5.4602,1.0084,0.0484
2.10E-11,2880000000,19.362,5.4315,1.0096,0.0462
2.10E-11,2960000000,19.2761,5.4045,1.01,0.0473
2.10E-11,3040000000,19.1969,5.3795,1.0097,0.0452
2.10E-11,3120000000,19.1139,5.3589,1.0102,0.0463
2.10E-11,3200000000,19.0369,5.3195,1.0103,0.046
2.10E-11,3280000000,18.9628,5.3077,1.0086,0.0457
2.10E-11,3360000000,18.8853,5.275,1.0098,0.0464
2.10E-11,3440000000,18.8228,5.2486,1.0073,0.0469
2.10E-11,3520000000,18.7456,5.227,1.008,0.0467
2.10E-11,3600000000,18.6798,5.1955,1.0063,0.0464
2.10E-11,3680000000,18.6224,5.1738,1.0071,0.0479
2.10E-11,3760000000,18.5507,5.1449,1.0058,0.0467
2.10E-11,3840000000,18.4901,5.1208,1.0077,0.0475
2.10E-11,3920000000,18.4347,5.0959,1.0072,0.0471
2.10E-11,4000000000,18.3742,5.0693,1.0077,0.0478
2.10E-11,4080000000,18.3146,5.0431,1.0081,0.0452
2.10E-11,4160000000,18.2623,5.0186,1.0089,0.0472
2.10E-11,4240000000,18.2028,4.9992,1.0106,0.0445
2.10E-11,4320000000,18.153,4.9846,1.01,0.0457
2.10E-11,4400000000,18.1075,4.9593,1.0101,0.0464
2.10E-11,4480000000,18.0559,4.9448,1.0109,0.0455
2.10E-11,4560000000,18.015,4.9173,1.0127,0.0464
2.10E-11,4640000000,17.9661,4.8986,1.0141,0.0456
2.10E-11,4720000000,17.9316,4.8804,1.0129,0.0464
2.10E-11,4800000000,17.8849,4.857,1.0146,0.0448
2.10E-11,4880000000,17.8437,4.8389,1.0138,0.0467
2.10E-11,4960000000,17.82,4.817,1.0132,0.0466
2.10E-11,5040000000,17.7676,4.8016,1.0156,0.0476
2.10E-11,5120000000,17.7524,4.7823,1.0131,0.0476
2.10E-11,5200000000,17.7226,4.7718,1.0141,0.0489
2.10E-11,5280000000,17.6938,4.7494,1.0136,0.0479
2.10E-11,5360000000,17.667,4.7407,1.0122,0.0497
2.10E-11,5440000000,17.6468,4.725,1.0136,0.0492
2.10E-11,5520000000,17.6301,4.7253,1.0113,0.0489
2.10E-11,5600000000,17.6177,4.7044,1.0111,0.0508
2.10E-11,5680000000,17.5996,4.72,1.0083,0.0486
2.10E-11,5760000000,17.5912,4.7015,1.0078,0.0513
2.10E-11,5840000000,17.5773,4.7061,1.0066,0.0501
2.10E-11,5920000000,17.5828,4.7167,1.004,0.0516
2.10E-11,6000000000,17.5566,4.7024,1.0047,0.0519
2.10E-11,6080000000,17.5526,4.7134,1.0025,0.0521
2.10E-11,6160000000,17.5325,4.7261,1.0023,0.0518
2.10E-11,6240000000,17.5175,4.7266,1.0013,0.0521
2.10E-11,6320000000,17.5051,4.7531,1.0013,0.0508
2.10E-11,6400000000,17.4869,4.7811,0.9989,0.0506
2.10E-11,6480000000,17.4717,4.7998,0.9995,0.0499
2.10E-11,6560000000,17.4555,4.834,0.9968,0.0503
2.10E-11,6640000000,17.4288,4.852,0.9979,0.0503
2.10E-11,6720000000,17.4079,4.8946,0.9977,0.0491
2.10E-11,6800000000,17.3898,4.9169,0.998,0.0494
2.10E-11,6880000000,17.3505,4.9629,0.9981,0.0482
2.10E-11,6960000000,17.3149,5.0096,0.9967,0.0474
2.10E-11,7040000000,17.2759,5.0649,0.9984,0.0464
2.10E-11,7120000000,17.2323,5.1112,0.996,0.046
2.10E-11,7200000000,17.1822,5.1754,0.9967,0.0445
2.10E-11,7280000000,17.1129,5.2143,0.996,0.045
2.10E-11,7360000000,17.0595,5.2648,0.9955,0.0432
2.10E-11,7440000000,16.9603,5.3263,0.9951,0.0427
2.10E-11,7520000000,16.8761,5.3318,0.9948,0.0422
2.10E-11,7600000000,16.775,5.3827,0.9941,0.0403
2.10E-11,7680000000,16.6594,5.3848,0.9945,0.0396
2.10E-11,7760000000,16.581,5.3994,0.9928,0.0384
2.10E-11,7840000000,16.4664,5.3855,0.9931,0.0384
2.10E-11,7920000000,16.3628,5.3522,0.9917,0.037
2.10E-11,8000000000,16.2784,5.3226,0.9926,0.0368
2.10E-11,8080000000,16.1906,5.2598,0.9932,0.0357
2.10E-11,8160000000,16.128,5.2222,0.9933,0.0347
2.10E-11,8240000000,16.0638,5.1631,0.9942,0.0337
2.10E-11,8320000000,16.0188,5.105,0.9945,0.0329
2.10E-11,8400000000,15.9758,5.0627,0.9938,0.0325
2.10E-11,8480000000,15.9384,5.0079,0.9935,0.0313
2.10E-11,8560000000,15.9087,4.9419,0.9946,0.0321
2.10E-11,8640000000,15.904,4.9002,0.993,0.0322
2.10E-11,8720000000,15.8672,4.8508,0.9944,0.0314
2.10E-11,8800000000,15.8472,4.7945,0.9948,0.0327
2.10E-11,8880000000,15.839,4.7721,0.996,0.0307
2.10E-11,8960000000,15.8,4.7486,0.9965,0.0301
2.10E-11,9040000000,15.8176,4.696,0.9966,0.0312
2.10E-11,9120000000,15.7769,4.6802,0.9967,0.0301
2.10E-11,9200000000,15.7652,4.6556,0.9974,0.0299
2.10E-11,9280000000,15.762,4.6271,0.9981,0.0302
2.10E-11,9360000000,15.7401,4.6249,0.9982,0.0288
2.10E-11,9440000000,15.7324,4.5804,0.9985,0.0295
2.10E-11,9520000000,15.7404,4.564,0.998,0.0298
2.10E-11,9600000000,15.7095,4.5599,0.9985,0.0288
2.10E-11,9680000000,15.7187,4.5427,0.9991,0.0288
2.10E-11,9760000000,15.7164,4.5131,0.9986,0.0286
2.10E-11,9840000000,15.7058,4.5175,0.998,0.0284
2.10E-11,9920000000,15.6844,4.4748,0.9995,0.0285
2.10E-11,10000000000,15.6953,4.4929,0.9982,0.0287
2.10E-11,10080000000,15.6943,4.468,0.9983,0.0292
2.10E-11,10160000000,15.6647,4.4428,0.9982,0.0292
2.10E-11,10240000000,15.6989,4.4387,0.9982,0.03
2.10E-11,10320000000,15.6653,4.4146,0.9996,0.0303
2.10E-11,10400000000,15.681,4.4141,0.9986,0.0301
2.10E-11,10480000000,15.6725,4.4031,0.9988,0.0308
2.10E-11,10560000000,15.6627,4.3852,0.9981,0.0313
2.10E-11,10640000000,15.655,4.4105,0.9977,0.0298
2.10E-11,10720000000,15.6411,4.3713,0.9982,0.0322
2.10E-11,10800000000,15.6546,4.3836,0.9971,0.0309
2.10E-11,10880000000,15.655,4.3788,0.9964,0.0326
2.10E-11,10960000000,15.6635,4.3226,0.9962,0.0341
2.10E-11,11040000000,15.6668,4.3508,0.9949,0.0337
2.10E-11,11120000000,15.6537,4.3179,0.9952,0.0345
2.10E-11,11200000000,15.663,4.3304,0.9935,0.0338
2.10E-11,11280000000,15.68,4.3284,0.9931,0.0347
2.10E-11,11360000000,15.6605,4.3311,0.9926,0.0339
2.10E-11,11440000000,15.7001,4.3539,0.9907,0.0338
2.10E-11,11520000000,15.6967,4.3408,0.9899,0.0341
2.10E-11,11600000000,15.682,4.3538,0.9886,0.0333
2.10E-11,11680000000,15.6958,4.3443,0.988,0.0335
2.10E-11,11760000000,15.6995,4.3692,0.9859,0.0331
2.10E-11,11840000000,15.6939,4.3925,0.9849,0.032
2.10E-11,11920000000,15.7094,4.3786,0.9837,0.0323
2.10E-11,12000000000,15.7167,4.4122,0.9824,0.0313
2.10E-11,12080000000,15.7135,4.4127,0.9813,0.0308
2.10E-11,12160000000,15.7138,4.4134,0.9819,0.0299
2.10E-11,12240000000,15.7412,4.464,0.979,0.029
2.10E-11,12320000000,15.7055,4.4426,0.9789,0.0283
2.10E-11,12400000000,15.6982,4.5168,0.978,0.0255
2.10E-11,12480000000,15.7239,4.5409,0.9749,0.0258
2.10E-11,12560000000,15.6631,4.5272,0.9758,0.0239
2.10E-11,12640000000,15.7182,4.5623,0.9743,0.0239
2.10E-11,12720000000,15.6918,4.5831,0.9732,0.0228
2.10E-11,12800000000,15.6712,4.6255,0.9741,0.0197
2.10E-11,12880000000,15.6982,4.6056,0.9721,0.0211
2.10E-11,12960000000,15.6568,4.6656,0.9707,0.0181
2.10E-11,13040000000,15.5857,4.6373,0.9729,0.0174
2.10E-11,13120000000,15.639,4.6671,0.97,0.0176
2.10E-11,13200000000,15.6195,4.7306,0.969,0.0141
2.10E-11,13280000000,15.5845,4.7102,0.9699,0.0142
2.10E-11,13360000000,15.6484,4.7022,0.9674,0.0144
2.10E-11,13440000000,15.5202,4.7756,0.9702,0.01
2.10E-11,13520000000,15.5835,4.7475,0.9685,0.0101
2.10E-11,13600000000,15.5433,4.7752,0.9684,0.0082
2.10E-11,13680000000,15.5045,4.8329,0.9675,0.0054
2.10E-11,13760000000,15.5128,4.8125,0.9679,0.005
2.10E-11,13840000000,15.5057,4.8845,0.9662,0.0025
2.10E-11,13920000000,15.4425,4.9148,0.9675,-0.0004
2.10E-11,14000000000,15.4794,4.9191,0.9673,-0.0014
2.10E-11,14080000000,15.4908,4.9913,0.9645,-0.0047
2.10E-11,14160000000,15.4212,4.999,0.9669,-0.0058
2.10E-11,14240000000,15.4564,4.9583,0.9647,-0.0056
2.10E-11,14320000000,15.4111,5.0927,0.9653,-0.0103
2.10E-11,14400000000,15.4055,4.9885,0.9652,-0.0081
2.10E-11,14480000000,15.3678,5.0462,0.9656,-0.0106
2.10E-11,14560000000,15.3725,5.0441,0.9663,-0.0109
2.10E-11,14640000000,15.2828,5.0903,0.9678,-0.0147
2.10E-11,14720000000,15.34,5.1334,0.9657,-0.0157
2.10E-11,14800000000,15.2773,5.1244,0.9678,-0.0167
2.10E-11,14880000000,15.2727,5.1832,0.9668,-0.0195
2.10E-11,14960000000,15.264,5.176,0.967,-0.0204
2.10E-11,15040000000,15.2315,5.1803,0.9674,-0.0204
2.10E-11,15120000000,15.2416,5.1731,0.9663,-0.0207
2.10E-11,15200000000,15.188,5.208,0.9685,-0.0234
2.10E-11,15280000000,15.2082,5.2073,0.966,-0.0229
2.10E-11,15360000000,15.1481,5.2423,0.9687,-0.026
2.10E-11,15440000000,15.1953,5.2,0.9661,-0.0242
2.10E-11,15520000000,15.1644,5.3178,0.9662,-0.0291
2.10E-11,15600000000,15.1527,5.2419,0.9666,-0.0268
2.10E-11,15680000000,15.1449,5.3655,0.9653,-0.0326
2.10E-11,15760000000,15.1221,5.3508,0.966,-0.0322
2.10E-11,15840000000,15.076,5.3894,0.9663,-0.0351
2.10E-11,15920000000,15.0826,5.392,0.9663,-0.0354
2.10E-11,16000000000,15.0507,5.4605,0.9653,-0.0387
2.10E-11,16080000000,14.9622,5.4854,0.9685,-0.0407
2.10E-11,16160000000,15.0318,5.4642,0.9653,-0.0399
2.10E-11,16240000000,14.9195,5.5759,0.9682,-0.046
2.10E-11,16320000000,14.9478,5.53,0.9667,-0.0442
2.10E-11,16400000000,14.9599,5.6242,0.9648,-0.0494
2.10E-11,16480000000,14.8127,5.5925,0.9702,-0.0494
2.10E-11,16560000000,14.8997,5.6891,0.9643,-0.0536
2.10E-11,16640000000,14.8532,5.6858,0.9658,-0.0541
2.10E-11,16720000000,14.7652,5.7137,0.968,-0.0564
2.10E-11,16800000000,14.7755,5.7421,0.9668,-0.0584
2.10E-11,16880000000,14.7434,5.815,0.9666,-0.0623
2.10E-11,16960000000,14.6868,5.8205,0.9683,-0.064
2.10E-11,17040000000,14.6976,5.8262,0.9666,-0.0646
2.10E-11,17120000000,14.6533,5.9627,0.9664,-0.0728
2.10E-11,17200000000,14.564,5.892,0.9704,-0.071
2.10E-11,17280000000,14.5346,6.0404,0.9685,-0.0794
2.10E-11,17360000000,14.416,6.0546,0.9737,-0.0825
2.10E-11,17440000000,14.4491,6.0818,0.9704,-0.084
2.10E-11,17520000000,14.2929,6.1905,0.9755,-0.0933
2.10E-11,17600000000,14.2737,6.2274,0.9753,-0.0958
2.10E-11,17680000000,14.2398,6.2344,0.9755,-0.0982
2.10E-11,17760000000,14.0812,6.1834,0.9836,-0.0987
2.10E-11,17840000000,14.0403,6.2185,0.9847,-0.1028
2.10E-11,17920000000,13.9424,6.2292,0.9879,-0.1065
2.10E-11,18000000000,13.8018,6.3241,0.9931,-0.1152
